movieID,name,releaseDate,duration,genres,ratingFromTomato,contentRating,ratingFromIMDB,directorID,userID
515,I.Q.,2009,80,"Drama,Horror,Thriller",44.67253028650793,PG,6.8,1141,313
782,Paris Was a Woman,1996,75,Documentary,63.5616386765943,NR,7.3,613,313
1011,The Boxer,1995,-1,Documentary,78.87350881351009,R,-1.0,564,313
372,Firestarter,2020,96,Documentary,36.232230968428176,R,8.1,723,313
377,Flatliners,2017,109,"Drama,Horror,Mystery",51.02266514077107,R,4.733333333333333,539,314
336,Empire,2020,72,Horror,21.961318163933637,R,8.6,1242,314
71,Alpha and Omega,2010,90,"Adventure,Animation,Comedy",18.43943914860887,PG,5.3,167,314
1166,The Nut Job,2014,85,"Adventure,Animation,Comedy",13.209854790678714,PG,4.947368421052632,450,314
82,Amélie,2001,122,"Comedy,Romance",88.02745097762224,R,8.3,18,314
448,Habit,2017,52,Sport,75.95817745255431,R,-1.0,1237,315
1300,Two for the Money,2005,122,"Crime,Drama,Sport",22.0,R,6.3,210,315
1327,Velvet Buzzsaw,2019,113,"Horror,Mystery,Thriller",62.0,R,5.9411764705882355,315,315
217,Centigrade,2020,89,"Drama,Thriller",41.64013645359702,NR,3.2857142857142856,1034,315
718,Nancy Drew and the Hidden Staircase,2019,89,"Comedy,Crime,Drama",69.63230303237343,PG,5.631578947368421,82,315
981,Swimming Pool,2003,102,"Crime,Drama,Mystery",83.64031399197643,R,6.6923076923076925,543,315
794,Persepolis,2007,96,"Animation,Biography,Drama",93.82268917634251,PG-13,8.416666666666666,925,315
1213,The Stranger,2019,90,"Drama,Mystery,Thriller",94.51705060768845,PG,-1.0,1199,316
1246,The Whistleblower,2019,134,"Action,Drama,Mystery",75.5273253343707,R,5.1,808,316
617,Little Manhattan,2005,84,"Comedy,Family,Romance",78.64406929470782,PG,8.857142857142858,453,316
1225,The Unborn,2003,108,"Horror,Mystery,Thriller",12.232084315290784,PG-13,5.5,833,317
1127,The Jacket,2005,103,"Drama,Fantasy,Mystery",43.843678320633686,R,6.416666666666667,484,317
1230,The Vanished,2020,115,"Crime,Mystery,Thriller",11.047270175779703,R,5.3,105,317
398,Friday the 13th,2009,97,"Horror,Mystery,Thriller",65.21602779212219,R,4.666666666666667,796,317
16,"4 Months, 3 Weeks and 2 Days",2007,113,Drama,93.55187243185736,R,8.444444444444445,519,317
150,Blackwood,2014,90,"Horror,Thriller",38.63820752671805,NR,5.3,982,318
1281,Tower,2014,115,Thriller,99.0,NR,-1.0,1278,318
1293,Twelfth Night,1996,134,"Comedy,Drama,Romance",76.0,PG,6.818181818181818,534,318
48,After,2012,83,Romance,16.49122549396261,PG-13,6.2,472,318
706,Much Ado About Nothing,2011,161,"Comedy,Romance",85.90817658648687,PG-13,8.6,957,318
72,Always Shine,2016,85,"Drama,Horror,Mystery",91.75285171327155,NR,5.7,1076,319
917,Slow Burn,2005,93,"Drama,Mystery,Thriller",11.756636054315557,R,5.7,163,319
59,Alien Raiders,2008,85,"Action,Horror,Sci-Fi",100.0,R,6.636363636363637,588,319
897,Shadows,2019,130,"Drama,Horror",96.57874263889519,PG,-1.0,882,319
132,Beneath Hill 60,2010,122,"Drama,History,War",82.98347036512897,R,7.1,627,319
692,Mission of Honor,2018,107,"Action,Drama,War",85.70520070549772,NR,5.611111111111111,99,319
372,Firestarter,2020,96,Documentary,36.232230968428176,R,8.1,723,319
115,Ballplayer: Pelotero,2011,77,"Biography,Documentary,Sport",87.22300461736467,NR,7.3,1173,320
419,Goal II: Living the Dream,2007,115,"Adventure,Drama,Sport",39.291084141443235,PG-13,4.85,862,320
691,Missing Link,2019,93,"Adventure,Animation,Comedy",87.20189204000131,PG,6.117647058823529,1053,320
903,Shaun the Sheep Movie,2015,85,"Adventure,Animation,Comedy",95.29006010156752,PG,7.7272727272727275,195,320
33,A Midsummer Night's Dream,2019,180,"Comedy,Drama,Romance",92.45009893589868,NR,8.3,378,320
