movieID,name,genres,ratingFromIMDB,userID
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,115
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,115
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,115
922,Snapshots,Drama,8.724137931034482,115
1006,The Best Man Holiday,"Comedy,Drama",8.0,115
1072,The Filth and the Fury,"Biography,Documentary,Music",9.0,115
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,115
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,89
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,89
902,Shaun of the Dead,"Comedy,Horror",8.583333333333334,89
909,Shutter Island,"Mystery,Thriller",7.857142857142857,89
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,89
922,Snapshots,Drama,8.724137931034482,89
950,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi",8.6,89
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,89
1263,Thor: Ragnarok,"Action,Adventure,Comedy",8.583333333333334,89
1325,Veer-Zaara,"Drama,Family,Musical",8.692307692307692,89
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,269
226,Chicago,"Comedy,Crime,Musical",8.307692307692308,269
237,"Clean, Shaven","Crime,Drama,Thriller",8.076923076923077,269
254,Cool Runnings,"Adventure,Comedy,Family",7.333333333333333,269
266,"Crouching Tiger, Hidden Dragon","Action,Adventure,Drama",7.846153846153846,269
617,Little Manhattan,"Comedy,Family,Romance",8.857142857142858,269
669,Mary and Max,"Animation,Comedy,Drama",8.23076923076923,269
919,Slumdog Millionaire,"Drama,Romance",8.333333333333334,269
922,Snapshots,Drama,8.724137931034482,269
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,269
7,13,"Crime,Drama,Thriller",7.928571428571429,68
16,"4 Months, 3 Weeks and 2 Days",Drama,8.444444444444445,68
54,Akeelah and the Bee,"Drama,Family",8.076923076923077,68
128,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",8.615384615384615,68
190,Brother,"Crime,Drama,Thriller",8.11111111111111,68
470,Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,7.75,68
794,Persepolis,"Animation,Biography,Drama",8.416666666666666,68
849,Riding Alone for Thousands of Miles,Drama,8.615384615384615,68
1148,The Lord of the Rings: The Two Towers,"Action,Adventure,Drama",9.1875,68
1381,X-Men: First Class,"Action,Adventure,Sci-Fi",8.307692307692308,68
401,Frost/Nixon,"Biography,Drama,History",8.272727272727273,191
838,Remember,"Drama,Mystery,Thriller",8.272727272727273,191
